Rank;Codigo_Instituicao;Instituicao;Exportacao_Quant;Exportacao_Valor;Importacao_Quant;Importacao_Valor;Transf_Exterior_Quant;Transf_Exterior_Valor;Transf_pExterior_Quant;Transf_pExterior_Valor;Mercado_Primario_Quant;Mercado_Primario_Valor;Mercado_Interbancario_Quant;Mercado_Interbancario_Valor;Total_Geral_Quant;Total_Geral_Valor;Data_Ref
84;44.189.447;BANCO DE LA PROVINCIA DE BUENOS AIRES;8.0;2752442.0;2.0;925854.0;4.0;19744.0;10.0;26599.0;24.0;3724640.0;87.0;50170000.0;111.0;53894640.0;2014-00
86;61.024.352;BANCO INDUSVAL S.A.;40.0;12510619.0;35.0;7778155.0;14.0;925484.0;104.0;6299753.0;193.0;27514011.0;63.0;25542713.0;256.0;53056724.0;2014-00
87;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.;30.0;748324.0;633.0;14885518.0;142.0;4065294.0;671.0;6249370.0;1476.0;25948506.0;300.0;18135031.0;1776.0;44083537.0;2014-00
91;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.;46.0;9036144.0;110.0;7082931.0;10.0;155113.0;55.0;976003.0;221.0;17250191.0;46.0;16282530.0;267.0;33532721.0;2014-00
93;17.184.037;BANCO MERCANTIL DO BRASIL S.A.;4.0;195459.0;16.0;2274937.0;23.0;2089546.0;76.0;2759164.0;119.0;7319106.0;73.0;22270489.0;192.0;29589595.0;2014-00
94;65.982.589;GRACO CORRETORA DE CAMBIO S.A.;3.0;18020.0;152.0;6848702.0;106.0;360206.0;592.0;6031783.0;853.0;13258711.0;393.0;16330064.0;1246.0;29588775.0;2014-00
95;69.251.239;PIONEER CORRETORA DE CAMBIO LTDA;10.0;88273.0;250.0;5314355.0;107.0;1463221.0;617.0;6901084.0;984.0;13766933.0;623.0;13719178.0;1607.0;27486111.0;2014-00
98;67.391.821;S. HAYATA CORRETORA DE C∂MBIO S.A.;5.0;50881.0;75.0;1132175.0;86.0;326000.0;2791.0;11943688.0;2957.0;13452744.0;643.0;13414830.0;3600.0;26867574.0;2014-00
102;4.062.902;VISION S.A. CORRETORA DE CAMBIO;11.0;173950.0;257.0;5725838.0;92.0;1614466.0;537.0;6105010.0;897.0;13619264.0;789.0;11156981.0;1686.0;24776246.0;2014-00
103;33.042.151;BANCO DE LA NACION ARGENTINA;9.0;7650347.0;9.0;585761.0;295.0;484907.0;160.0;81804.0;473.0;8802819.0;16.0;15623916.0;489.0;24426735.0;2014-00
